City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
431,Muli,MV,83.91,2.9167,73.5667,broken clouds,Medhufushi Island Resort
432,Korla,CN,79.92,41.7597,86.1469,scattered clouds,Gulisitan Hotel
433,Port Said,EG,82.38,31.2565,32.2841,clear sky,Aracan Hotel
434,Trincomalee,LK,83.3,8.5711,81.2335,scattered clouds,Welcombe Hotel
436,Erenhot,CN,68.95,43.6475,111.9767,overcast clouds,Erenhot Rurouni Youth Hostel
437,San Francisco De Becerra,HN,94.8,14.6333,-86.1,overcast clouds,Finca ¨La Victoria¨
438,Dongying,CN,64.92,37.4564,118.4856,light rain,Wanda Realm
439,Madang,PG,77.67,-5.2246,145.7966,overcast clouds,Comfort Inn Hotel
440,Tura,IN,74.25,25.5198,90.2201,clear sky,Hotel RIKMAN Continental
441,Lompoc,US,68.09,34.6391,-120.4579,overcast clouds,"Holiday Inn Express Lompoc, an IHG Hotel"
442,Port Keats,AU,71.15,-14.25,129.55,scattered clouds,TDC Village (Hundred Man Camp)
443,Villa Maria,AR,62.82,-32.4075,-63.2402,few clouds,Hotel Milenium
444,Pitsunda,GE,64.58,43.1592,40.3378,broken clouds,Hotel FREEDOM
446,Lorengau,PG,81.34,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
449,Ahuimanu,US,73.11,21.4447,-157.8378,scattered clouds,Paradise Bay Resort
451,Huarmey,PE,70.32,-10.0681,-78.1522,broken clouds,Hotel Miramar
452,Northam,GB,66.34,51.0333,-4.2167,broken clouds,Durrant House Hotel
457,Fuyang,CN,76.15,32.9,115.8167,light rain,Fuyang Wanda Realm Hotel
458,Felanitx,ES,81.45,39.4696,3.1483,overcast clouds,Petit Hotel Hostatgeria Sant Salvador
460,Golden,US,62.1,39.7555,-105.2211,overcast clouds,"The Golden Hotel, Ascend Hotel Collection"
461,Mabayo,PH,82.45,14.7318,120.2781,broken clouds,Home Away From Home in Anvaya Cove
462,Bereda,ES,74.41,43.2686,-7.5406,broken clouds,Pazo de Verdes
463,Chino Valley,US,79.75,34.7575,-112.4538,clear sky,Primrose Inn & Suites
465,Saint-Pierre,RE,71.29,-21.3393,55.4781,clear sky,Lindsey Hôtel
466,Tabuk,PH,78.3,17.4189,121.4443,broken clouds,Golden Berries Hotel and Convention
467,Seoul,KR,62.17,37.5683,126.9778,light rain,Lotte Hotel Seoul
470,Puerto Del Rosario,ES,74.88,28.5004,-13.8627,few clouds,Hotel JM Puerto del Rosario
472,Port-Gentil,GA,79.2,-0.7193,8.7815,broken clouds,Fengshui Residence
473,Presidencia Roque Saenz Pena,AR,67.91,-26.7852,-60.4388,clear sky,Hotel Gualok
474,Lima,PE,63.14,-12.0432,-77.0282,overcast clouds,Gran Hotel Bolivar Lima
477,Nieuwpoort,BE,73.54,51.1244,2.7735,clear sky,Hotel Gemeente Huis
478,Marsh Harbour,BS,79.63,26.5412,-77.0636,clear sky,Abaco Beach Resort
479,Burdur,TR,68.52,37.7203,30.2908,broken clouds,Alya Hotel
480,Namatanai,PG,79.11,-3.6667,152.4333,light rain,Namatanai Hotel
481,Alta Floresta,BR,86.27,-9.8756,-56.0861,broken clouds,Floresta Amazonica Hotel
485,Grand-Santi,GF,85.91,4.25,-54.3833,broken clouds,Hotel La Villa Couacou
486,Sao Raimundo Nonato,BR,93.18,-9.0153,-42.6994,scattered clouds,Real Hotel
487,Toro,CO,77.68,4.6117,-76.0814,broken clouds,"Finca La María Toro, Valle del Cauca"
488,Urumqi,CN,74.35,43.801,87.6005,clear sky,Hua Ling Grand Hotel Urumqi
489,Ipojuca,BR,78.71,-8.3989,-35.0639,broken clouds,Temporada Condomínio Reserva Ipojuca
490,Kaseda,JP,67.06,31.4167,130.3167,overcast clouds,Sun Stay Kaseda
493,Campo Maior,BR,92.17,-4.8278,-42.1686,clear sky,Elite Hotel
495,Veraval,IN,83.39,20.9,70.3667,overcast clouds,Lords Inn Somnath
496,Kondinskoye,RU,65.61,59.6481,67.41,overcast clouds,Gostinitsa
498,Pahrump,US,88.05,36.2083,-115.9839,clear sky,Best Western Pahrump Oasis
499,Salalah,OM,84.29,17.0151,54.0924,broken clouds,HAMDAN PLAZA HOTEL SALALAH
501,Sassandra,CI,84.27,4.95,-6.0833,light rain,la terrasse
502,Sarangani,PH,80.01,5.4033,125.4636,heavy intensity rain,Ballistic Islet
